,code,tw_count,sentiment,age_0-15_perc,age_16-29_perc,age_30-44_perc,age_45-64_perc,age_65_perc,qual_4min,hh_1p_perc,hh_cpl_perc,hh_cpl_kids_perc,BAME_perc,house_price_2012,tweets_ihs,h_prices_ihs
815,E02000629,2780,1.1575539568345323,13.38425772,34.2964685,30.80925495,15.52086793,5.989150891,51.71039522,32.39365719,19.05361188,10.39516738,29.43651057,386250.0,8.62335341959285,13.557387287755713
816,E02000327,881,1.1929625425652668,28.57142857,25.46520147,25.02564103,16.21978022,4.717948718,17.802197800000002,30.58973271,13.32201952,22.06194315,52.41025641,181500.0,7.4742051285940905,12.802158113254578
817,E02000726,22320,1.1358870967741936,16.29554656,37.61808367,27.62033288,13.50652272,4.95951417,34.2780027,32.13311511,15.766503,11.51118385,60.06522717,239975.0,10.706385597557016,13.081437210796024
818,E02000507,129,1.178294573643411,23.46720383,19.65252424,22.12010575,23.68122875,11.07893743,19.30001259,18.61393324,22.64150943,27.93904209,31.29799824,254000.0,5.552974607718716,13.138236726564495
819,E02000128,899,1.1935483870967742,19.97532218,15.43734576,22.84069098,26.02138744,15.72525363,25.25363312,29.00864937,24.18496341,22.82102462,11.66712366,285000.0,7.494430524360413,13.253391639813811
820,E02000199,63,1.1587301587301586,25.33807829,18.90865955,22.24199288,25.11269276,8.398576512,22.52669039,26.73392182,15.06935687,19.16771753,66.59549229,215000.0,4.836344889159275,12.971540487675153
821,E02000982,11014,1.1470855275104412,17.57840992,20.53245806,26.18526623,22.30731826,13.39654753,35.98346706,48.22592324,15.56842867,10.71687183,35.71602237,680000.0,10.000069652443239,14.122995257712775
822,E02000981,2870,1.2048780487804878,10.15459904,27.52752753,30.93093093,21.89967746,9.487265042999999,55.92258926,47.99093344,21.55367814,7.87141974,20.86530975,592500.0,8.655214519664835,13.98525333255208
823,E02000374,152,1.25,18.9867776,26.19224484,26.53394741,18.21423265,10.0727975,33.18971921,28.53281853,15.05791506,15.01930502,38.70153023,495000.0,5.717038521867716,13.805460222111792
824,E02000481,257,1.1439688715953307,16.64314128,14.94931349,16.92544591,26.44681124,25.03528808,15.69357115,29.87092809,22.24953903,20.74370006,4.69652252,250000.0,6.242227050502336,13.122363377408329
825,E02000494,186,1.2258064516129032,16.00481348,13.7451531,18.73245086,29.89704506,21.62053751,40.44658377,29.2776886,24.20545746,20.2247191,39.77804519,447500.0,5.918901080463752,13.70457899725824
826,E02000101,1172,1.1996587030716723,21.90312902,22.49249893,23.16759537,20.595799399999997,11.84097728,25.22503215,28.41183575,15.36835749,19.23309179,69.66352336,232500.0,7.759614332702468,13.049792684574118
827,E02000915,711,1.170182841068917,16.938563000000002,26.99294227,26.77311119,20.94180261,8.353580933,33.54159435,31.98184569,19.09228442,15.37065053,46.03725558,237500.0,7.259820104902117,13.07107008302121
828,E02000650,1283,1.2876071706936867,21.71336207,18.92510776,29.76831897,21.67295259,7.920258621,31.27693966,33.71481596,18.12557996,13.85709867,43.87122845,267500.0,7.850103697050689,13.190022025881637
829,E02000185,829,1.1158021712907118,19.24004825,21.65259349,26.65862485,20.2291918,12.21954162,33.11218335,45.50533266,14.49974606,12.06196039,42.03860072,385000.0,7.4133676994684485,13.554145793831553
830,E02000926,1705,1.26158357771261,12.11951656,28.43554163,33.5049239,17.61414503,8.325872874,48.56759176,37.49708148,21.83049265,9.619425636,27.2045658,436650.0,8.134467656276124,13.680034418403135
831,E02000251,177,1.192090395480226,20.6570997,22.26837865,21.90332326,24.50906344,10.66213494,20.883685800000002,18.05896806,20.06552007,22.48157248,72.06696878,260000.0,5.869304892865257,13.161584090561309
832,E02000211,42,1.0238095238095237,17.325,16.925,17.975,29.1625,18.6125,23.0125,27.63037511,23.75724306,20.21957914,25.375,282500.0,4.430958492080543,13.24458101013171
833,E02000068,781,1.206145966709347,25.46020574,21.39956687,24.09312398,20.15430428,8.892799134,17.27125068,32.65373232,18.41499507,19.86188754,34.69139145,156000.0,7.353722740261649,12.650758466801893
834,E02000337,366,1.139344262295082,20.75638755,19.27649886,22.55249178,24.99367569,12.42094612,16.87326081,25.98398933,21.04736491,20.14676451,19.92157855,220000.0,6.595782380240538,12.994530005899609
835,E02000927,316,1.231012658227848,13.04860088,29.80854197,29.10162003,18.30633284,9.734904271,43.46097202,35.25402726,19.98141264,9.851301115,24.59499264,455000.0,6.448891897742647,13.721199878494241
836,E02000697,1511,1.1111846459298478,15.43142266,24.98478764,35.730802000000004,16.35633443,7.49665328,54.21686747,30.69611406,27.50908583,18.53508527,22.36826092,447500.0,8.013674252331901,13.70457899725824
837,E02000813,3715,1.1542395693135934,18.95006402,28.7626586,25.68967524,18.11197765,8.485624491,30.52031195,35.02402563,15.77682862,10.75814202,41.50855547,305000.0,8.91328115582614,13.321214236152182
838,E02000502,352,1.15625,19.86076448,17.12859582,25.23315382,22.26454748,15.51293839,25.3776435,27.63965128,24.60445593,22.34420407,21.30566137,280000.0,6.5567803738430515,13.23569206271452
839,E02000347,488,1.1229508196721312,30.95776772,23.54198089,21.43036702,16.47812971,7.5917546510000005,22.51131222,30.72973964,16.50165017,26.14594793,31.35997989,319950.0,6.883463636196443,13.369067193129993
840,E02000578,513,1.1871345029239766,21.4729217,20.66229734,22.93894446,23.37012763,11.55570887,21.09348051,38.34555827,12.14343928,14.26242869,44.48085547,500000.0,6.933423975689273,13.815510557965274
841,E02000148,2218,1.2989179440937781,19.54441913,13.16628702,19.14958238,27.66894457,20.47076689,29.7342445,24.57273073,24.64868971,24.99050513,11.34396355,377500.0,8.397508399288178,13.534473028232917
842,E02000560,2499,1.1480592236894758,11.81458451,35.55681176,29.46579989,15.54550594,7.617297907999999,44.34708875,37.04752912,19.51526597,8.21529745,31.81175806,330000.0,8.516793151426915,13.399995114004904
843,E02000173,2215,1.2397291196388263,16.5732899,19.66123779,32.247557,19.32247557,12.19543974,55.98697068,40.54356963,20.28579434,15.21434576,29.90228013,897250.0,8.39615491399485,14.400236989570109
844,E02000619,2151,1.1775918177591818,17.49441271,24.02532903,25.46560715,22.68438043,10.33027067,33.37472064,42.559444299999996,13.70558376,9.484370826000001,47.25602185,328807.5,8.366835363860684,13.396374932685248
