MSOA,park,road,station,hill,squar
E02000118,0.056475274174895666,0.010042320583728627,0.030868247140951908,0.0006700144071085267,0.03490822772282616
E02000119,0.045437835535925127,0.023242872680149254,0.011907386215742203,0.0008861389259554153,0.014758772894782888
E02000120,0.01666202105390863,0.049380122375326053,0.007355754842584859,0.0001976757850363283,0.021104608942431963
E02000121,0.05961586443570365,0.2435312963939164,0.026250773018983754,0.005734653335831364,0.05714362450320643
E02000122,0.14819752583410872,0.09917490252353708,0.1356729601040913,0.022686371726932972,0.09688328867019805
E02000123,0.09315268209933723,0.12467695550260692,0.322169274292886,0.0017824997090639596,0.3303718426232118
E02000124,0.5020186958077684,0.0894305639699333,0.153978588952993,0.015621971172607853,0.4792318571704401
E02000125,0.01715545134157103,0.08374053695307032,0.1442588322774327,0.01436680728886613,0.3834635708251753
E02000126,0.4499941159559602,0.21363777072975298,0.28012361508083633,0.02332426233526312,0.3630137540620635
E02000127,0.09001242542046128,0.0638409170218669,0.0,0.002738190443272607,0.009354863733793612
E02000128,0.029024629065199495,0.03631886335932802,0.0035592930358377198,0.016643291471201135,0.00637233204287208
E02000130,0.06144116805463392,0.05992805782358727,0.07439162432473397,0.003690779985062101,0.022854408592598168
E02000131,0.21094713786814842,0.004446350706380951,0.03015997329416828,0.010247734821792844,0.013816511776917938
E02000132,0.053885232696271185,0.10086067973914274,0.10582658744417502,0.023552661748239813,0.04454382191068915
E02000133,0.04391587887525141,0.18673776879898246,0.14249589988916778,0.04983588978401825,0.03289139409387663
E02000134,0.10704955027126166,0.17365571017801285,0.2593914361692436,0.030747858311168427,0.16328146814534378
E02000135,0.1700266940658581,0.16516617076507537,0.1578672366098425,0.026895624980792867,0.13208798325687995
E02000136,0.31666485679634065,0.08506676927078682,0.001946498328280559,0.03295496163342972,0.008444149023415073
E02000137,0.04164795243375618,0.034285906540368,0.4158795229250912,0.01647017422808809,0.09143771698768911
E02000138,0.8624711185547167,0.007309956798990349,0.005185260744487335,0.0029262816277346687,0.02999239801755039
E02000139,0.18834879625575168,0.19226778200565306,0.3431588588378365,0.029793901584161196,0.025447270304249724
E02000140,0.03448009307271073,0.3973913845258738,0.1087276399302592,0.09544891765040728,0.06987760999641887
E02000141,0.05327269406664814,0.06802991076437653,0.020486243929210585,0.0015415108885333893,0.007899719507358582
E02000142,0.005333646861690424,0.02985761768597744,0.04298145531301481,0.018983282287544725,0.02161841584788542
E02000144,0.17209805965752942,0.08038217340411176,0.12034428590737913,0.060654386580788096,0.02371379445935502
E02000145,0.0035160905735142473,0.1099931482428469,0.01847907955821829,0.012514315558649769,0.009500979992136177
E02000146,0.05339249992921073,0.010449533761507384,0.007412295134113946,0.0011951713652071955,0.003062423567227097
