,gss_code,group,tw_count,tw_neg_count,tw_neg_ratio,sentiment,sent_vader,sentpos_tfidflr,shannon
438,E05000614,E,4537,39,0.008595988538681949,1.1772096098743663,0.33592653735948863,0.7593755173395393,1.332713433582327
439,E05000619,F,11439,166,0.014511758020806014,1.1823585977795261,0.348240020980855,0.7534768121050461,1.0750274625216438
440,E05000617,B,1380,37,0.02681159420289855,1.136231884057971,0.29539217391304345,0.7354333798166928,1.2829416522071455
441,E05000622,D,3241,27,0.008330762110459735,1.230175871644554,0.35036121567417466,0.7727597494927291,1.290555408377478
442,E05000620,D,10880,101,0.009283088235294118,1.200091911764706,0.3179664154411765,0.7743381738700901,1.1997071759897906
443,E05000623,E,1773,40,0.022560631697687534,1.212633953750705,0.3354333333333333,0.754764674656231,1.2424065786129863
444,E05000259,F,4147,58,0.013986013986013986,1.1265975403906439,0.27914740776464914,0.7403282000487273,0.9146224676606434
445,E05000257,E,2494,31,0.012429831595829992,1.2097032878909384,0.3605592221331195,0.7520354799187242,1.1269287948006759
446,E05000262,E,7111,75,0.010547039797496835,1.2318942483476305,0.37657351989874843,0.7714590740128943,1.2161267107035285
447,E05000260,F,9082,122,0.013433164501211186,1.1413785509799603,0.311884463774499,0.735359951671593,1.1600591064173063
448,E05000254,E,2327,23,0.009883970777825527,1.2286205414697036,0.3316646755479158,0.7752683871696276,1.2673635523751876
449,E05000261,E,2322,29,0.012489233419465978,1.177002583979328,0.31207726098191213,0.7537398991241944,1.1083595469852132
450,E05000256,E,14756,141,0.009555435077256709,1.140485226348604,0.3138464624559501,0.7548268294229324,1.0091544184532943
451,E05000252,D,10538,79,0.00749667868665781,1.2563104953501614,0.4057226893148605,0.7890196337136284,1.0482847643708477
452,E05000251,E,563,4,0.007104795737122558,1.2095914742451155,0.2957300177619893,0.7804116816257252,0.86909860995803
453,E05000265,B,764,7,0.009162303664921465,1.1073298429319371,0.30759568062827225,0.711452582830518,1.2928239596703988
454,E05000263,E,14901,159,0.01067042480370445,1.1636131803234682,0.3294475739883229,0.7644608009512431,0.9237380458422362
455,E05000253,G,3390,44,0.012979351032448377,1.1607669616519174,0.263333185840708,0.7459136244027877,1.4635613504346294
456,E05000264,E,3407,26,0.007631347226298797,1.236278250660405,0.394527913120047,0.7827335374635227,1.3712304160042157
457,E05000255,E,2048,37,0.01806640625,1.1630859375,0.371240673828125,0.7266308089264076,1.3492918547974888
458,E05000258,D,2375,23,0.00968421052631579,1.2029473684210525,0.3389610947368421,0.7633800735548394,1.0374997065067562
459,E05000250,D,1354,4,0.0029542097488921715,1.1809453471196456,0.33099283604135893,0.7567228356295044,1.2050464173253737
